,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,TotalCmp,TotalAtt,TotalCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,A-xA,KP,1/3Pass,PPA,CrsPA,ProgPass,PassAtt,Live,Dead,FKPass,TB,PressPass,Switch,Cross,CK,In,Out,Str,Ground,Low,High,OutcomeCmp,OutcomeOff,OutcomeOut,OutcomeInt,OutcomeBlocks,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,TklvsDrib,AttvsDrib,Tkl%vsDrib,PastvsDrib,Press,PressSucc,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,ShBlock,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Touch Def 3rd,Touch Mid 3rd,Touch Att 3rd,Touch Att Pen,Touch Live,Drib Succ,Drib Att,Drib Succ%,Drib #Pl,Drib Megs,Carries,TotDistCarries,PrgDistCarries,ProgCarries,1/3/Carries,CarriesCPA,CarriesMis,CarriesDis,RecTarg,Rec,Rec%,RecProg,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
1,Arsenal,Bernd Leno\2628fd2b,de GER,GK,28,35,35,3131,34.8,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,,0,0,,,,0,,0,0,26.5,33.2,79.8,632.3,320.5,7.61,7.61,100,13.1,13.2,99.3,5.63,12.2,46,0,0,0.14,0,0,0.06,33.2,24.7,8.51,2.01,0.03,2.44,0.6,0,0,0,0,0,22.3,0.92,10,26.5,0.03,0.86,0.09,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.09,0.06,66.7,0.09,0,0,0.03,0,0,0.03,0,0,0,0,35.3,29.7,34.7,0.57,0.03,0.03,26.9,0,0,,0,0,18.5,68.2,37.3,0,0,0,0,0,17.7,17.6,99.5,0,89,91.5,1.01,89,0.98,0,,0.06,1.63,1.49,1.06,0.43,+0.43,+0.12,1.37,1.21,0.16,+0.16,-0.96
2,Arsenal,Bukayo Saka\bc7dc64d,eng ENG,FWDF,18,32,30,2553,28.4,0.18,0.11,0.18,0,0,0.04,0,0.28,0.28,0.24,0.17,0.41,0.24,0.41,2.15,0.74,34.4,2.15,0.74,0.08,0.24,15.7,0.04,0.11,-0.07,-0.07,30.5,40.7,74.9,471.4,121.2,17,19.8,85.8,10.5,12.9,81.5,2.08,5.46,38.1,-0.06,1.34,1.94,1.02,0.28,2.25,40.7,36.3,4.33,0.88,0.11,7.22,1.3,2.89,2.22,0.7,0.7,0.35,28,5.28,7.43,30.5,0.11,0.63,0.77,1.8,3.45,3.45,2.22,0.39,0.28,0.25,0.32,0,0.42,0.42,0.32,0,0.04,0,0.07,0,1.2,0.67,0.46,0.56,0.18,0.14,1.06,13.3,0.92,13.9,3.91,28.2,3.42,5.7,4.75,1.41,0.07,0,1.34,0.95,2.15,1.13,0,54.7,1.9,8.49,20.8,29.4,5.46,50.6,1.48,2.82,52.5,1.65,0.11,39.3,199.4,122.8,7.25,1.9,1.3,1.65,2.32,49.7,38.7,77.9,7.75,80,74.6,1.06,83,0.7,0.07,25,0.14,1.59,1.34,1.09,0.25,+0.25,-0.69,1.35,1.07,0.28,+0.28,+0.16
3,Arsenal,Granit Xhaka\e61b8aee,ch SUI,MFDF,27,31,29,2522,28,0.04,0.07,0.04,0,0,0.25,0.04,0.11,0.11,0.03,0.06,0.09,0.03,0.09,0.75,0.21,28.6,0.75,0.21,0.05,0.17,25.8,0.25,0.04,0.01,0.01,69.5,77.3,89.9,1405.5,366.3,25.1,27.4,91.5,32.6,34.8,93.5,11.1,13.4,82.9,0.01,0.64,9.57,1.04,0.04,7.61,77.3,74,3.29,2,0.14,8.32,2.54,0.21,0,0,0,0,59.5,8.57,9.21,69.5,0.07,0.64,1.39,0.89,1.43,1.43,1.29,0,0,0.07,0.07,0,0.11,0.11,0.11,0,0,0,0,0,2.07,1.32,0.82,0.79,0.46,1.18,2.29,51.6,1.11,12.4,3.43,27.7,3.86,5.75,2.75,1.18,0.25,0,0.93,0.89,2.96,1.96,0.04,85.6,3.71,22,54.9,14.5,0.43,82.6,0.36,0.68,52.6,0.39,0.07,61.5,312.6,170.9,5.68,1.43,0,0.25,0.68,67.2,64.1,95.4,0.93,81,73.7,1.04,86,0.82,0.07,12,0.07,1.65,1.57,0.93,0.64,+0.64,+0.84,1.6,1.13,0.48,+0.48,+0.91
4,Arsenal,Rob Holding\d79a8c87,eng ENG,DF,24,30,28,2558,28.4,0,0.04,0,0,0,0.07,0,0.04,0.04,0.04,0.01,0.05,0.04,0.05,0.49,0.07,14.3,0.49,0.07,0,0,12.2,0,0.08,-0.04,-0.04,55.6,62.3,89.3,1250.6,347.7,13.8,14.5,95.4,30.3,32.4,93.7,11.2,14.9,75.4,0.03,0.14,4.23,0.21,0,3.56,62.3,60.7,1.55,1.16,0,4.44,2.11,0.11,0,0,0,0,49.5,4.23,8.56,55.6,0.07,1.2,0.56,0.32,0.42,0.42,0.39,0,0,0,0,0.04,0.11,0.11,0.11,0,0,0,0,0,1.37,0.74,0.92,0.28,0.18,0.32,0.95,33.3,0.63,10.4,3.13,30.1,6.06,3.8,0.56,1.9,1.09,0,0.81,0.81,2.18,5.53,0,72.9,11.4,39.1,36.1,2.64,0.7,71.3,0.32,0.42,75,0.32,0.04,49.9,256.5,152,3.7,0.28,0,0.11,0.28,53.5,52.1,97.4,0.04,85,74.8,0.99,90,0.95,0.07,24,0.18,1.57,1.3,0.92,0.39,+0.39,-0.14,1.36,1.21,0.15,+0.15,-0.35
5,Arsenal,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,31,29,26,2332,25.9,0.39,0.12,0.31,0.08,0.08,0.08,0,0.5,0.42,0.41,0.11,0.52,0.35,0.46,2.16,0.73,33.9,2.16,0.73,0.14,0.42,13.5,0,0.16,-0.02,-0.04,20,26.7,75,304.4,58.2,11.2,13.7,81.4,7.07,9.19,76.9,1.08,1.97,54.9,0.01,0.85,0.69,1.04,0.35,1.93,26.7,25.9,0.81,0.04,0.23,5.44,0.35,1.81,0.04,0,0,0,19.1,3.94,3.63,20,0.35,0.19,0.62,0.89,1.74,1.74,1.39,0,0.15,0.08,0.12,0,0.27,0.27,0.23,0,0.04,0,0,0,0.66,0.19,0.31,0.27,0.08,0.15,0.77,20,0.62,13.3,3.2,24.1,2.2,5.56,5.52,1,0.08,0,0.93,0.23,0.89,0.54,0,34.9,0.93,4.86,14.1,18.2,4.86,34,0.46,1.08,42.9,0.5,0,23.4,135.2,80,4.09,1.35,1.08,1.24,0.73,48.3,27.6,57.1,7.18,80,68.2,1,87,0.73,0.12,23,0.12,1.52,1.31,1,0.31,+0.31,-0.35,1.31,1.17,0.14,+0.14,-0.31
6,Arsenal,Kieran Tierney\fce2302c,sct SCO,DF,23,27,26,2299,25.5,0.04,0.12,0.04,0,0,0.16,0,0.16,0.16,0.02,0.16,0.17,0.02,0.17,0.59,0.12,20,0.59,0.12,0.07,0.33,24.3,0,0.03,0.02,0.02,44.5,58.4,76.2,818.3,238,18.8,21.6,87.3,20.4,24.5,83.4,4.98,10.6,46.9,-0.04,1.29,2.2,1.33,0.55,3.84,58.4,49.6,8.86,0.71,0.04,5.37,1.06,3.96,0,0,0,0,36,10.7,11.7,44.5,0.12,1.25,0.82,2.27,2.27,2.27,1.8,0.08,0.2,0.04,0.16,0,0.27,0.27,0.12,0,0.08,0,0.08,0,1.14,0.67,0.31,0.51,0.31,0.35,1.1,32.1,0.75,7.73,2.55,33,2.71,3.14,1.88,1.96,0.43,0,1.53,0.78,1.92,3.02,0,68.2,4.35,20.6,27.6,24.6,2.04,59.5,0.86,1.65,52.4,0.94,0.04,42.8,212.6,131.6,5.88,1.92,0.78,0.78,0.63,48.7,43.5,89.4,3.61,85,67.2,1.02,87,0.9,0.04,28,0,1.59,1.37,1.06,0.31,+0.31,-0.33,1.36,1.17,0.19,+0.19,-0.17
7,Arsenal,Héctor Bellerín\f874dd44,es ESP,DF,25,25,24,2089,23.2,0.04,0.09,0.04,0,0,0.34,0,0.13,0.13,0.04,0.1,0.14,0.04,0.14,0.65,0.22,33.3,0.65,0.22,0.07,0.2,19.1,0,0.05,0.01,0.01,46.5,56.1,82.9,781.9,221.9,21.5,24.8,86.6,21.4,24.7,86.6,2.72,4.35,62.4,-0.02,0.95,2.63,1.25,0.39,3.79,56.1,49,7.11,0.39,0.09,7.8,0.6,2.2,0,0,0,0,36.8,12.4,6.98,46.5,0.13,0.73,1.25,1.64,1.77,1.77,1.59,0.04,0,0.09,0.04,0,0.3,0.3,0.26,0,0,0,0.04,0,1.47,0.78,0.78,0.56,0.13,0.52,1.77,29.3,1.25,9.61,2.67,27.8,3.75,4.31,1.55,2.16,0.39,0,1.77,0.56,2.03,1.77,0,64.6,2.41,17.5,28.9,21.6,2.16,57.6,0.69,1.34,51.6,0.78,0.13,40.2,191.8,119.1,4.96,1.42,0.56,0.69,0.39,45.5,41.4,91,3.19,84,61.1,1.03,86,0.86,0.04,22,0.39,1.48,1.12,1.03,0.09,+0.09,-0.86,1.23,1.25,-0.01,-0.01,-0.66
8,Arsenal,Gabriel Dos Santos\67ac5bb8,br BRA,DF,22,23,22,1996,22.2,0.09,0,0.09,0,0,0.18,0.05,0.09,0.09,0.05,0,0.05,0.05,0.05,0.72,0.18,25,0.72,0.18,0.13,0.5,11.3,0,0.06,0.05,0.05,57.8,67.2,86,1216.7,352.3,17,18.6,91.3,30.4,32.5,93.5,9.77,14.9,65.8,0,0.09,3.69,0.14,0.09,2.39,67.2,65.9,1.31,1.26,0,5.99,1.31,0.14,0,0,0,0,52.7,5.5,9.01,57.8,0.18,1.08,1.04,0.72,0.45,0.45,0.27,0.05,0.05,0.09,0,0,0,0,0,0,0,0,0,0,1.26,0.77,0.99,0.23,0.05,0.41,0.77,52.9,0.36,6.8,2.48,36.4,4.28,2.21,0.32,1.85,1.04,0,0.81,1.04,2.3,4.77,0.09,77.7,11.8,41.7,38.8,2.66,1.13,76.6,0.18,0.41,44.4,0.23,0,55.1,344.3,196.7,5,0.27,0.09,0.14,0.18,60.1,58.8,97.8,0.41,87,58.4,0.99,89,0.95,0.05,45,0.45,1.57,1.26,1.08,0.18,+0.18,-0.58,1.25,1.1,0.15,+0.15,-0.23
9,Arsenal,Alexandre Lacazette\9dbb75ca,fr FRA,FW,29,31,22,1923,21.4,0.61,0.09,0.47,0.14,0.14,0.14,0,0.7,0.56,0.46,0.13,0.58,0.35,0.47,2.01,1.17,58.1,2.01,1.17,0.23,0.4,14.2,0.14,0.17,0.15,0.12,19.2,24.5,78.2,283.5,58.3,10.5,13.2,79.5,6.31,7.38,85.4,1.26,2.06,61.4,-0.03,0.84,1.12,0.98,0,2.15,24.5,22.7,1.78,0.09,0.19,5.56,0.28,0.19,0,0,0,0,17.9,3.88,2.76,19.2,0.23,0.51,0.42,0.89,2.15,2.15,1.31,0,0.14,0.09,0.42,0.19,0.23,0.23,0.14,0,0,0.05,0.05,0,1.17,0.89,0.28,0.56,0.33,0.19,0.75,25,0.56,15.4,5,32.5,1.87,6.31,7.2,0.79,0.09,0,0.7,0.65,1.82,0.61,0,35.6,0.61,4.25,16.4,16.4,4.77,33.7,0.93,1.54,60.6,1.03,0.05,23.1,77.3,31.1,1.73,0.47,0.28,1.54,1.5,42.7,25,58.6,7.24,62,56.2,1.03,80,0.33,0.42,19,0.23,1.52,1.5,0.98,0.51,+0.51,+0.21,1.53,1.16,0.36,+0.37,+0.28
10,Arsenal,Thomas Partey\529f49ab,gh GHA,MF,27,24,18,1534,17,0,0.12,0,0,0,0.29,0,0.12,0.12,0.08,0.06,0.14,0.08,0.14,1.53,0.24,15.4,1.53,0.23,0,0,25.1,0,0.05,-0.08,-0.08,56.8,65.4,86.9,1102.8,301.1,22.4,24.6,90.9,24.8,27.5,90.4,8.35,11.4,73.6,0.06,0.71,7.29,0.59,0,6.35,65.4,63.7,1.71,1.65,0.12,9.24,1.82,0.12,0,0,0,0,50.3,6.35,8.76,56.8,0.24,1.18,1.53,0.76,1.71,1.7,1.65,0,0.06,0,0,0,0.24,0.23,0.18,0,0.06,0,0,0,2.76,1.76,1.24,1.29,0.24,1.06,2.76,38.3,1.71,16.2,5.59,34.4,6.53,7.18,2.53,1.71,0.29,0,1.41,1.53,4.29,1.47,0,76.7,2.71,20,49.2,13.6,0.71,75.4,1.35,1.88,71.9,1.41,0.12,57.4,284.7,165.9,7.53,2.76,0.06,0.41,1.24,56.6,55,97.1,1.06,64,44.9,1.06,80,0.59,0.35,17,0,1.58,1.29,1,0.29,+0.29,-0.23,1.28,1.1,0.18,+0.18,-0.11
